code,selection,replicate,treatment,n,correct,proptomato,tomato,total
1,2,T1,T,1,0.5,0.5,31,62
2,2,C1,C,1,0.6125,0.275,22,80
3,2,R1,R,1,0.092592593,0.796296296,43,54
4,2,R3,R,3,0.455696203,0.455696203,36,79
5,2,T2,T,2,0.608695652,0.608695652,56,92
6,2,C2,C,2,0.58974359,0.230769231,18,78
7,2,T3,T,3,0.457831325,0.457831325,38,83
8,2,C3,C,3,0.349206349,0.555555556,35,63
9,2,R2,R,2,0.580645161,0.225806452,7,31
10,2,R4,R,4,0.45,0.45,9,20
11,2,T4,T,4,NA,NA,NA,100
12,2,C4,C,4,0.602941176,0.235294118,16,68
1,3,T1,T,1,NA,NA,NA,100
2,3,C1,C,1,NA,NA,NA,100
3,3,R1,R,1,NA,NA,NA,100
4,3,R3,R,3,NA,NA,NA,100
5,3,T2,T,2,NA,NA,NA,100
6,3,C2,C,2,NA,NA,NA,100
7,3,T3,T,3,0.219178082,0.219178082,16,73
8,3,C3,C,3,0.478723404,0.478723404,45,94
9,3,R2,R,2,0.606382979,0.606382979,57,94
10,3,R4,R,4,0.225806452,0.419354839,13,31
11,3,T4,T,4,0.485294118,0.485294118,33,68
12,3,C4,C,4,0.564705882,0.247058824,21,85
1,4,T1,T,1,0.445652174,0.445652174,41,92
2,4,C1,C,1,0.547619048,0.428571429,36,84
3,4,R1,R,1,0.348314607,0.573033708,51,89
4,4,R3,R,3,0.494382022,0.494382022,44,89
5,4,T2,T,2,0.458333333,0.458333333,33,72
6,4,C2,C,2,0.698795181,0.277108434,23,83
7,4,T3,T,3,0.494623656,0.494623656,46,93
8,4,C3,C,3,0.293333333,0.666666667,50,75
9,4,R2,R,2,0.534883721,0.406976744,35,86
10,4,R4,R,4,0.689655172,0.689655172,20,29
11,4,T4,T,4,0.37037037,0.37037037,30,81
12,4,C4,C,4,0.273809524,0.595238095,50,84
1,5,T1,T,1,0.079545455,0.079545455,7,88
2,5,C1,C,1,0.795454545,0.125,11,88
3,5,R1,R,1,0.293333333,0.293333333,22,75
4,5,R3,R,3,0.345238095,0.595238095,50,84
5,5,T2,T,2,0.6375,0.6375,51,80
6,5,C2,C,2,0.548387097,0.35483871,33,93
7,5,T3,T,3,0.703703704,0.703703704,57,81
8,5,C3,C,3,0.545454545,0.375,33,88
9,5,R2,R,2,0.195402299,0.195402299,17,87
10,5,R4,R,4,0.563218391,0.356321839,31,87
11,5,T4,T,4,0.554216867,0.554216867,46,83
12,5,C4,C,4,0.507042254,0.394366197,28,71
1,6,T1,T,1,0.64,0.64,16,25
2,6,C1,C,1,NA,NA,NA,100
3,6,R1,R,1,0.544444444,0.355555556,32,90
4,6,R3,R,3,0.410526316,0.410526316,39,95
5,6,T2,T,2,0.390243902,0.390243902,32,82
6,6,C2,C,2,0.44047619,0.5,42,84
7,6,T3,T,3,0.659090909,0.659090909,58,88
8,6,C3,C,3,0.448275862,0.494252874,43,87
9,6,R2,R,2,0.532608696,0.402173913,37,92
10,6,R4,R,4,0.406593407,0.406593407,37,91
11,6,T4,T,4,0.426666667,0.426666667,32,75
12,6,C4,C,4,0.234567901,0.716049383,58,81
1,7,T1,T,1,0.370786517,0.370786517,33,89
2,7,C1,C,1,0.816091954,0.149425287,13,87
3,7,R1,R,1,0.253164557,0.253164557,20,79
4,7,R3,R,3,0.588235294,0.341176471,29,85
5,7,T2,T,2,0.482352941,0.482352941,41,85
6,7,C2,C,2,0.724137931,0.24137931,21,87
7,7,T3,T,3,0.157894737,0.157894737,12,76
8,7,C3,C,3,0.720430108,0.215053763,20,93
9,7,R2,R,2,0.658536585,0.658536585,54,82
10,7,R4,R,4,0.273809524,0.666666667,56,84
11,7,T4,T,4,0.5,0.5,39,78
12,7,C4,C,4,0.189189189,0.702702703,26,37
1,8,T1,T,1,0.372093023,0.372093023,32,86
2,8,C1,C,1,0.385964912,0.561403509,32,57
3,8,R1,R,1,0.530612245,0.428571429,21,49
4,8,R3,R,3,0.547619048,0.547619048,46,84
5,8,T2,T,2,0.188679245,0.188679245,20,106
6,8,C2,C,2,0.511111111,0.455555556,41,90
7,8,T3,T,3,NA,NA,NA,100
8,8,C3,C,3,0.546511628,0.430232558,37,86
9,8,R2,R,2,0.481481481,0.432098765,35,81
10,8,R4,R,4,0.285714286,0.285714286,14,49
11,8,T4,T,4,0.5,0.5,44,88
12,8,C4,C,4,0.481481481,0.456790123,37,81
1,9,T1,T,1,0.481481481,0.481481481,39,81
2,9,C1,C,1,0.42,0.49,49,100
3,9,R1,R,1,0.464788732,0.464788732,33,71
4,9,R3,R,3,0.658227848,0.278481013,22,79
5,9,T2,T,2,0.52,0.52,39,75
6,9,C2,C,2,0.534246575,0.397260274,29,73
7,9,T3,T,3,0.27027027,0.27027027,10,37
8,9,C3,C,3,0.630434783,0.326086957,30,92
9,9,R2,R,2,0.094736842,0.094736842,9,95
10,9,R4,R,4,0.6,0.369230769,24,65
11,9,T4,T,4,0.674698795,0.674698795,56,83
12,9,C4,C,4,0.311827957,0.655913978,61,93
1,10,T1,T,1,0.260416667,0.260416667,25,96
2,10,C1,C,1,0.577777778,0.411111111,37,90
3,10,R1,R,1,0.546511628,0.372093023,32,86
4,10,R3,R,3,0.329411765,0.329411765,28,85
5,10,T2,T,2,0.278481013,0.278481013,22,79
6,10,C2,C,2,0.511904762,0.44047619,37,84
7,10,T3,T,3,0.326923077,0.326923077,17,52
8,10,C3,C,3,0.253012048,0.698795181,58,83
9,10,R2,R,2,0.428571429,0.428571429,6,14
10,10,R4,R,4,0.517241379,0.517241379,45,87
11,10,T4,T,4,0.366666667,0.366666667,33,90
12,10,C4,C,4,0.666666667,0.133333333,6,45
